user_id,country,kyc_status,account_age_days,device_count,ip_risk_score,total_transaction_amount,transaction_count,avg_transaction_amount,std_transaction_amount,unique_counterparty_countries,days_since_last_tx,anomaly_score,is_anomaly
u0000,IR,passed,49,3,0.29,123346.94,71,1737.2808450704226,1692.8088456904543,10,4,0.1434928693404866,False
u0001,RU,passed,558,6,0.99,173968.76,79,2202.1362025316457,2365.0766641188934,10,0,0.11188324685127055,False
u0002,IR,passed,904,5,0.52,95042.1,44,2160.0477272727276,2315.730650867412,10,3,0.15167137112335932,False
u0003,BR,passed,714,6,0.91,44726.14,20,2236.307,2204.234760634748,7,9,0.05522337888019935,False
u0004,US,passed,248,2,0.87,177971.8,84,2118.7119047619044,2134.678868308664,10,4,0.12377979485835655,False
u0005,SA,failed,623,2,0.62,14584.710000000001,10,1458.471,1018.0044892768292,6,9,0.0576633704229923,False
u0006,IR,passed,996,3,0.86,187902.57,98,1917.3731632653062,1806.9608800035176,10,2,0.08084639641006675,False
u0007,CN,passed,790,2,0.84,68140.24,40,1703.506,1794.8117622188056,10,1,0.14750443629293358,False
u0008,US,passed,827,2,0.54,184739.75,99,1866.0580808080808,1804.6114076311285,10,0,0.11258263982816025,False
u0009,DE,passed,820,1,0.11,176718.55,88,2008.1653409090907,1711.0425033173492,10,0,0.12116977323829664,False
u0010,SA,passed,469,4,0.88,56255.18,39,1442.4405128205128,1341.8537818295465,8,1,0.07418284928898577,False
u0011,DE,passed,384,2,0.46,194643.64,96,2027.537916666667,1943.805644744576,10,0,0.13245248212455546,False
u0012,IR,passed,791,7,0.56,157777.9,69,2286.636231884058,2009.3848785146263,10,2,0.1516888142279168,False
u0013,RU,failed,201,2,0.7,15861.42,10,1586.142,1204.4280860484043,6,29,0.011635516378509125,False
u0014,DE,passed,690,4,0.61,20928.06,9,2325.34,1989.5813222761217,5,53,-0.033696442950409855,True
u0015,BR,passed,951,8,0.98,193495.57,92,2103.2127173913045,2369.7718724546353,10,0,0.06437384723735218,False
u0016,BR,passed,300,6,0.13,65748.64,37,1776.9902702702702,1827.1013797443795,10,2,0.15536212250514458,False
u0017,IR,passed,279,4,0.77,166206.1,65,2557.0169230769234,2516.836094700499,10,0,0.10179474517886694,False
u0018,DE,passed,877,5,0.11,116864.63,58,2014.9074137931036,1971.0455323165734,10,2,0.15422654657353335,False
u0019,US,passed,0,9,0.31,103883.81,66,1573.997121212121,1400.6709034588391,10,1,0.1267282323420707,False
u0020,US,failed,71,8,0.0,45317.08,20,2265.8540000000003,2255.2783614268105,9,0,0.03274033350132732,False
u0021,FR,passed,562,6,0.4,22050.76,12,1837.5633333333333,1445.8316032357127,7,10,0.09001718827910393,False
u0022,RU,passed,752,5,0.75,12557.130000000001,11,1141.557272727273,1372.0719500528455,7,1,0.027695150994186735,False
u0023,NG,passed,1,6,0.31,42883.58,21,2042.075238095238,2187.5886878058654,8,4,0.07786637841936178,False
u0024,FR,passed,725,1,0.27,31883.62,22,1449.2554545454545,1386.0207096670576,9,12,0.0991380273500641,False
u0025,CN,passed,920,2,0.73,44840.89,26,1724.6496153846153,1691.0223344911342,10,14,0.09147582924706793,False
u0026,RU,passed,155,6,0.01,45798.96,15,3053.264,2595.7608200178997,9,25,-0.040487400896927594,True
u0027,CN,passed,348,4,0.02,147562.87,64,2305.66984375,2350.9615579057795,10,0,0.09722804572474242,False
u0028,SA,passed,807,2,0.74,69196.67,44,1572.6515909090908,1570.3988828023002,10,0,0.13982139551771833,False
