tx_id,user_id,timestamp,tx_type,amount_usd,counterparty_country
tx_u0000_80746,u0000,2025-06-07 19:44:51,deposit,1629.8,DE
tx_u0000_1871,u0000,2025-05-24 06:12:49,trade,2108.31,IR
tx_u0000_75468,u0000,2025-02-09 03:34:10,deposit,5750.0,FR
tx_u0000_91125,u0000,2025-01-07 20:38:43,withdraw,3800.77,CN
tx_u0000_92229,u0000,2025-01-07 20:29:42,withdraw,1208.99,CN
tx_u0000_52752,u0000,2025-03-12 07:30:48,withdraw,2057.88,SA
tx_u0000_17979,u0000,2025-04-26 04:57:27,trade,223.76,DE
tx_u0000_71892,u0000,2025-04-23 13:24:34,trade,1108.64,FR
tx_u0000_9270,u0000,2025-02-22 08:20:17,withdraw,127.12,FR
tx_u0000_49392,u0000,2025-06-08 04:46:46,trade,536.82,FR
tx_u0000_3522,u0000,2025-06-02 08:56:34,deposit,2110.93,US
tx_u0000_18506,u0000,2025-06-05 08:40:22,deposit,427.89,BR
tx_u0000_33722,u0000,2025-01-10 08:17:30,trade,2563.55,BR
tx_u0000_19972,u0000,2025-04-16 17:12:35,trade,704.68,IR
tx_u0000_76189,u0000,2025-03-20 19:46:58,trade,298.23,IR
tx_u0000_55554,u0000,2025-03-09 23:11:30,withdraw,2757.87,US
tx_u0000_88466,u0000,2025-04-06 06:55:07,trade,1671.28,BR
tx_u0000_7959,u0000,2025-04-14 20:40:55,trade,3310.23,BR
tx_u0000_40084,u0000,2025-02-27 19:29:34,trade,337.74,SA
tx_u0000_95854,u0000,2025-06-05 17:03:34,withdraw,1840.64,NG
tx_u0000_65503,u0000,2025-01-04 17:45:22,trade,169.78,DE
tx_u0000_57718,u0000,2025-02-08 16:53:07,deposit,109.63,IR
tx_u0000_49997,u0000,2025-01-24 17:14:41,deposit,2271.43,SA
tx_u0000_78798,u0000,2025-06-18 03:09:25,withdraw,505.12,CN
tx_u0000_32019,u0000,2025-02-01 01:17:54,withdraw,1356.75,SA
tx_u0000_91997,u0000,2025-04-06 21:19:41,deposit,2311.05,US
tx_u0000_99468,u0000,2025-01-12 12:53:21,trade,985.87,FR
